index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed
38,36,初中,男,175.3,88.5,轻,已婚,父母健在,有一子女,有山,堵车,轻风,多云,小,0.316,[56 57]
39,19,初中,男,170.2,82.6,中,已婚,父母健在,有一子女,平原,堵车,和风,雾,大,0.392,[71 74]
40,19,初中,男,175.3,63.0,重,已婚,父母健在,有一子女,有山,堵车,狂风,冻雨,小,0.201,[68 56]
41,45,高中及以上,女,157.5,64.0,轻,未婚,父母健在,没有孩子,有山,堵车,暴风,阴天,大,0.166,[72 69]
42,38,初中,男,175.3,76.7,重,已婚,父母健在,有一子女,有山,通畅,烈风,暴雨,大,0.489,[56 67]
43,29,高中及以上,男,175.3,85.3,重,未婚,父母健在,没有孩子,有山,堵车,和风,中雪,中,0.06,[58 50]
44,24,初中,男,172.7,90.7,中,未婚,父母健在,没有孩子,平原,通畅,烈风,中雪,中,0.348,[58 53]
45,20,初中,男,170.2,66.7,轻,未婚,父母健在,没有孩子,平原,堵车,疾风,中雨,小,0.155,[60 52]
46,41,高中及以上,男,167.6,89.8,重,未婚,父母健在,没有孩子,有山,堵车,暴风,霜冻,大,0.133,[61 77]
47,31,高中及以上,男,167.6,68.0,轻,未婚,父母健在,没有孩子,平原,堵车,台风,小雨,中,0.342,[75 55]
48,28,初中,男,172.7,69.4,重,未婚,父母健在,没有孩子,有山,通畅,台风,雷阵雨,大,0.337,[62 52]
49,37,高中及以上,女,160.0,85.3,中,未婚,父母健在,没有孩子,有山,通畅,台风,中雨,小,0.394,[62 58]
50,29,高中及以上,男,177.8,72.6,中,已婚,父母健在,有一子女,有山,堵车,台风,晴,小,0.378,[77 61]
51,24,高中及以上,男,172.7,69.4,重,已婚,父母健在,有多个子女,平原,通畅,微风,冻雨,大,0.477,[78 76]
52,26,小学及以下,男,170.2,80.7,中,未婚,父母健在,没有孩子,平原,通畅,狂风,晴,中,0.419,[75 70]
53,19,高中及以上,男,177.8,68.0,重,未婚,父母健在,没有孩子,有山,通畅,微风,大到暴雪,小,0.185,[54 52]
54,29,初中,男,182.9,78.9,中,未婚,父母健在,没有孩子,有山,堵车,无风,中雨,小,0.489,[60 54]
55,31,初中,男,160.0,66.2,轻,已婚,父母健在,有一子女,有山,堵车,强风,冰雹,中,0.218,[50 68]
56,30,初中,男,175.3,73.9,中,未婚,父母健在,没有孩子,平原,通畅,台风,暴雨,中,0.196,[50 68]
57,25,高中及以上,男,170.2,63.0,轻,未婚,父母健在,没有孩子,有山,通畅,大风,霜冻,大,0.409,[73 76]
58,33,高中及以上,男,185.4,101.2,中,已婚,父母健在,有一子女,平原,堵车,无风,冰雹,中,0.425,[67 70]
59,34,高中及以上,男,180.3,130.6,重,已婚,父母健在,有一子女,平原,通畅,和风,大雨,中,0.46,[56 57]
60,40,高中及以上,男,177.8,117.9,中,已婚,父母健在,没有孩子,平原,通畅,强风,雨夹雪,大,0.09,[51 57]
61,28,初中,男,182.9,82.6,中,未婚,父母健在,没有孩子,平原,堵车,大风,暴雨,中,0.042,[51 65]
62,20,初中,男,172.7,83.5,中,未婚,父母健在,没有孩子,有山,通畅,无风,晴,中,0.243,[68 56]
63,21,初中,男,174.42525773195874,81.2,轻,未婚,父母健在,没有孩子,有山,通畅,劲风,雷阵雨,大,0.34700000000000003,[57 51]
64,38,初中,男,160.0,65.8,轻,未婚,父母健在,没有孩子,平原,通畅,疾风,冰雹,中,0.318,[69 51]
65,43,初中,男,170.2,99.8,中,已婚,父母健在,没有孩子,有山,通畅,无风,冰雹,小,0.33,[54 59]
66,31,高中及以上,男,177.8,97.1,重,未婚,父母健在,没有孩子,有山,堵车,劲风,冻雨,大,0.07200000000000001,[61 79]
67,30,初中,男,170.2,91.6,中,未婚,父母健在,没有孩子,平原,通畅,疾风,雷阵雨,大,0.103,[58 78]
68,36,初中,男,162.6,87.5,中,已婚,父母健在,没有孩子,有山,通畅,劲风,雾,大,0.263,[77 71]
69,29,高中及以上,男,167.6,76.7,中,已婚,父母健在,有一子女,有山,堵车,劲风,小雨,小,0.384,[54 76]
70,32,高中及以上,男,167.6,81.6,重,已婚,父母健在,有一子女,有山,堵车,轻风,中雪,大,0.28300000000000003,[70 68]
71,22,初中,男,172.7,68.9,重,已婚,父母健在,没有孩子,平原,通畅,台风,冰雹,小,0.037000000000000005,[63 51]
72,25,初中,男,167.6,78.9,轻,已婚,父母健在,有一子女,有山,堵车,轻风,暴雨,中,0.478,[51 74]
73,32,初中,男,175.3,101.2,重,未婚,父母健在,没有孩子,有山,堵车,轻风,小雪,中,0.17800000000000002,[62 77]
74,20,初中,男,188.0,87.5,重,未婚,父母健在,没有孩子,有山,通畅,无风,雾,中,0.44,[66 79]
75,21,初中,男,175.3,93.9,中,已婚,父母健在,没有孩子,有山,堵车,狂风,冰雹,中,0.252,[75 67]
76,38,初中,男,175.3,99.3,中,已婚,父母健在,有一子女,平原,通畅,强风,小雨,大,0.433,[61 75]
77,34,高中及以上,男,174.42525773195874,109.3,轻,未婚,父母健在,没有孩子,平原,堵车,微风,冰雹,大,0.031,[57 51]
78,20,初中,男,188.0,98.9,重,未婚,父母健在,没有孩子,平原,堵车,台风,小雨,中,0.032,[60 76]
79,39,高中及以上,男,165.1,83.0,重,已婚,父母健在,有多个子女,有山,堵车,暴风,大雨,中,0.496,[67 59]
80,29,高中及以上,男,154.9,72.6,中,已婚,父母健在,没有孩子,有山,通畅,软风,冰雹,大,0.131,[70 54]
81,20,高中及以上,男,175.3,59.9,轻,已婚,父母健在,没有孩子,平原,通畅,微风,雨夹雪,中,0.004,[70 59]
82,25,初中,男,167.6,68.0,中,未婚,父母健在,没有孩子,有山,堵车,劲风,雨夹雪,小,0.158,[69 67]
83,31,小学及以下,男,180.3,79.4,轻,未婚,父母健在,没有孩子,有山,通畅,台风,多云,中,0.116,[52 75]
84,31,小学及以下,男,172.7,92.1,中,未婚,父母健在,没有孩子,有山,通畅,轻风,中雨,小,0.024,[68 65]
85,31,初中,男,170.2,119.7,轻,已婚,父母健在,有一子女,平原,堵车,狂风,中雪,大,0.177,[66 76]
86,23,初中,男,180.3,63.0,轻,已婚,父母健在,没有孩子,平原,堵车,暴风,晴,大,0.098,[50 54]
87,23,初中,男,174.42525773195874,85.3,中,已婚,父母健在,有一子女,平原,通畅,台风,中雪,中,0.365,[54 68]
88,23,初中,男,172.7,83.5,中,已婚,父母健在,有一子女,平原,堵车,劲风,雾,大,0.416,[77 72]
89,23,初中,男,165.1,96.6,轻,已婚,父母健在,有一子女,平原,堵车,暴风,雷阵雨,大,0.298,[78 79]
90,39,高中及以上,男,177.8,77.1,中,未婚,父母健在,没有孩子,平原,堵车,强风,暴雨,大,0.163,[63 55]
91,32,初中,男,170.2,104.8,中,已婚,父母健在,有多个子女,有山,堵车,和风,晴,大,0.032,[56 74]
92,23,初中,男,172.7,114.3,中,未婚,父母健在,没有孩子,平原,通畅,劲风,雨夹雪,小,0.062,[51 63]
93,21,高中及以上,男,177.8,68.5,中,已婚,父母健在,没有孩子,有山,通畅,狂风,中雪,中,0.084,[73 64]
94,25,初中,男,170.2,68.0,轻,未婚,父母健在,没有孩子,有山,堵车,轻风,雨夹雪,大,0.113,[69 65]
95,21,高中及以上,男,185.4,68.0,轻,已婚,父母健在,有一子女,平原,通畅,台风,大到暴雪,小,0.229,[54 70]
96,20,初中,男,185.4,91.2,轻,未婚,父母健在,没有孩子,平原,通畅,暴风,大到暴雪,中,0.441,[65 52]
97,25,高中及以上,男,170.2,83.9,重,未婚,父母健在,没有孩子,平原,通畅,微风,中雨,大,0.29100000000000004,[62 60]
98,27,初中,男,170.2,81.6,轻,未婚,父母健在,没有孩子,有山,堵车,疾风,小雨,中,0.451,[53 62]
99,19,初中,男,172.7,70.8,重,已婚,父母健在,没有孩子,平原,通畅,和风,晴,中,0.001,[78 73]
100,24,初中,男,165.1,73.9,轻,已婚,父母健在,没有孩子,平原,堵车,强风,雷阵雨,大,0.498,[54 69]
101,28,高中及以上,男,165.1,79.8,重,已婚,父母健在,有一子女,有山,堵车,和风,中雪,中,0.451,[76 64]
102,27,高中及以上,男,167.6,65.3,轻,未婚,父母健在,没有孩子,平原,堵车,强风,大雨,小,0.242,[67 73]
103,29,高中及以上,男,175.3,73.5,重,已婚,父母健在,有多个子女,有山,堵车,狂风,小雨,中,0.44,[74 60]
104,36,高中及以上,男,188.0,94.8,重,已婚,父母健在,有多个子女,有山,堵车,大风,中雪,小,0.334,[66 79]
105,30,高中及以上,男,190.5,128.8,轻,未婚,父母健在,没有孩子,有山,堵车,轻风,霜冻,小,0.295,[74 78]
106,46,初中,男,188.0,86.2,轻,已婚,父母健在,没有孩子,平原,通畅,轻风,大雨,小,0.445,[70 66]
107,30,高中及以上,男,172.7,75.7,重,未婚,父母健在,没有孩子,平原,通畅,软风,中雨,大,0.459,[62 51]
108,37,高中及以上,男,180.3,103.9,重,已婚,父母健在,没有孩子,有山,通畅,和风,大雨,大,0.417,[73 64]
109,36,高中及以上,男,175.3,104.3,重,已婚,父母健在,没有孩子,平原,通畅,狂风,中雪,小,0.129,[62 54]
110,32,高中及以上,男,182.9,77.1,中,已婚,父母健在,没有孩子,有山,通畅,和风,大雨,中,0.18,[72 64]
111,20,高中及以上,男,170.2,61.2,重,已婚,父母健在,有一子女,平原,堵车,台风,小雪,小,0.001,[59 79]
112,22,初中,男,170.2,83.5,轻,未婚,父母健在,没有孩子,有山,堵车,疾风,中雨,中,0.014,[51 76]
113,30,初中,男,160.0,71.7,重,已婚,父母健在,没有孩子,平原,堵车,微风,大雨,中,0.129,[65 56]
114,39,高中及以上,男,170.2,97.5,重,已婚,父母健在,有一子女,有山,堵车,软风,晴,中,0.12,[69 74]
115,24,高中及以上,男,180.3,78.9,轻,已婚,父母健在,有一子女,有山,堵车,轻风,中雨,大,0.345,[63 78]
116,23,高中及以上,男,170.2,93.0,中,未婚,父母健在,没有孩子,有山,通畅,疾风,多云,大,0.095,[75 55]
117,31,初中,男,172.7,78.5,轻,已婚,父母健在,有多个子女,有山,堵车,暴风,中雨,中,0.091,[64 60]
118,19,初中,男,170.2,83.5,轻,已婚,父母健在,有一子女,有山,通畅,软风,大雨,小,0.28,[66 61]
119,27,高中及以上,男,180.3,118.4,轻,未婚,父母健在,没有孩子,有山,堵车,狂风,冻雨,小,0.008,[70 72]
120,24,初中,男,180.3,88.0,重,已婚,父母健在,有多个子女,平原,堵车,强风,暴雨,小,0.339,[50 64]
121,22,初中,男,172.7,76.7,中,已婚,父母健在,有一子女,平原,堵车,烈风,小雨,小,0.245,[50 61]
122,24,初中,男,170.2,71.2,轻,未婚,父母健在,没有孩子,平原,堵车,台风,大到暴雪,中,0.308,[78 71]
123,19,高中及以上,男,167.6,74.4,中,已婚,父母健在,有多个子女,有山,通畅,强风,中雪,中,0.424,[61 50]
124,26,高中及以上,男,165.1,58.5,中,未婚,父母健在,没有孩子,有山,堵车,烈风,雷阵雨,大,0.389,[63 67]
125,21,初中,男,160.0,77.6,重,已婚,父母健在,有多个子女,有山,通畅,无风,小雪,中,0.311,[58 59]
126,25,初中,男,175.3,71.2,中,已婚,父母健在,有多个子女,有山,堵车,无风,雨夹雪,小,0.097,[54 71]
127,19,初中,男,167.6,64.4,轻,未婚,父母健在,没有孩子,有山,堵车,台风,暴雨,小,0.204,[58 75]
128,34,初中,男,182.9,81.6,重,未婚,父母健在,没有孩子,有山,堵车,暴风,小雨,小,0.308,[64 62]
129,41,初中,男,165.1,74.8,轻,未婚,父母健在,没有孩子,有山,堵车,大风,大到暴雪,大,0.028,[56 56]
130,23,初中,男,177.8,73.9,中,未婚,父母健在,没有孩子,有山,堵车,暴风,阴天,小,0.353,[58 76]
131,39,高中及以上,男,190.5,92.5,重,已婚,父母健在,没有孩子,平原,堵车,疾风,霜冻,大,0.306,[68 71]
132,30,初中,男,175.3,68.0,重,已婚,父母健在,没有孩子,有山,堵车,劲风,雨夹雪,小,0.248,[72 73]
133,28,高中及以上,男,160.0,78.0,中,已婚,父母健在,有一子女,平原,堵车,暴风,小雨,中,0.067,[65 54]
134,21,初中,男,177.8,79.8,中,已婚,父母健在,有一子女,有山,通畅,大风,雷阵雨,中,0.03,[60 77]
135,19,高中及以上,男,182.9,74.8,轻,已婚,父母健在,没有孩子,有山,堵车,劲风,晴,小,0.338,[73 51]
136,36,小学及以下,男,177.8,101.6,重,已婚,父母健在,有多个子女,有山,堵车,台风,多云,中,0.303,[59 76]
137,33,高中及以上,男,185.4,113.4,中,未婚,父母健在,没有孩子,有山,通畅,轻风,大到暴雪,小,0.256,[78 70]
138,39,初中,男,167.6,86.2,重,未婚,父母健在,没有孩子,平原,堵车,劲风,大雨,小,0.154,[74 70]
139,23,初中,男,177.8,93.9,轻,未婚,父母健在,没有孩子,有山,通畅,无风,大雨,中,0.038,[68 66]
140,20,初中,男,180.3,99.8,轻,未婚,父母健在,没有孩子,平原,堵车,软风,小雪,小,0.039,[68 75]
141,20,初中,男,170.2,86.2,重,未婚,父母健在,没有孩子,平原,通畅,微风,暴雨,小,0.18,[68 74]
142,23,高中及以上,男,170.2,88.5,重,已婚,父母健在,有一子女,平原,通畅,软风,多云,中,0.434,[72 58]
143,24,高中及以上,男,182.9,63.5,中,已婚,父母健在,有一子女,有山,通畅,台风,霜冻,小,0.107,[76 68]
144,44,初中,男,172.7,76.2,中,已婚,父母健在,没有孩子,有山,通畅,强风,阴天,中,0.495,[53 79]
145,49,初中,男,175.3,93.0,中,已婚,父母健在,有一子女,有山,堵车,台风,雷阵雨,大,0.161,[67 75]
146,35,高中及以上,男,165.1,67.1,重,已婚,父母健在,有多个子女,有山,通畅,强风,中雪,大,0.058,[51 57]
147,22,高中及以上,男,177.8,101.6,轻,未婚,父母健在,没有孩子,平原,通畅,疾风,雾,中,0.156,[69 56]
148,26,初中,男,154.9,103.0,轻,未婚,父母健在,没有孩子,平原,堵车,软风,多云,中,0.057,[52 67]
149,37,初中,男,172.7,103.9,重,已婚,父母健在,没有孩子,平原,堵车,无风,中雪,中,0.269,[73 67]
150,29,初中,男,175.3,59.4,中,未婚,父母健在,没有孩子,有山,堵车,大风,晴,中,0.234,[77 71]
151,23,高中及以上,男,170.2,91.2,中,未婚,父母健在,没有孩子,有山,通畅,大风,阴天,大,0.471,[54 64]
152,40,高中及以上,男,180.3,79.4,中,已婚,父母健在,有一子女,有山,堵车,狂风,雷阵雨,小,0.075,[50 57]
153,23,初中,男,167.6,66.7,中,已婚,父母健在,有一子女,有山,堵车,无风,中雪,小,0.362,[75 74]
154,25,高中及以上,男,175.3,130.6,轻,未婚,父母健在,没有孩子,有山,通畅,大风,中雪,中,0.42,[65 71]
155,51,高中及以上,男,175.3,89.8,重,未婚,父母健在,没有孩子,平原,通畅,微风,雾,中,0.478,[60 62]
156,39,高中及以上,男,182.9,108.9,轻,已婚,父母健在,没有孩子,平原,通畅,无风,雷阵雨,大,0.275,[75 67]
157,29,高中及以上,男,175.3,81.6,重,未婚,父母健在,没有孩子,有山,通畅,暴风,阴天,中,0.43,[64 70]
158,28,初中,男,182.9,94.3,轻,未婚,父母健在,没有孩子,平原,通畅,和风,雨夹雪,大,0.03,[63 76]
159,25,初中,男,180.3,70.3,中,已婚,父母健在,有多个子女,平原,通畅,大风,暴雨,中,0.305,[70 54]
160,34,初中,男,177.8,85.7,中,已婚,父母健在,有多个子女,平原,通畅,无风,小雨,中,0.172,[60 50]
161,21,高中及以上,男,170.2,74.8,中,已婚,父母健在,没有孩子,有山,通畅,狂风,冻雨,大,0.391,[50 78]
162,24,高中及以上,男,177.8,74.8,重,未婚,父母健在,没有孩子,有山,通畅,疾风,雷阵雨,大,0.179,[68 52]
163,25,高中及以上,男,182.9,81.6,中,已婚,父母健在,有一子女,有山,通畅,疾风,冰雹,小,0.487,[66 61]
164,22,高中及以上,男,188.0,105.2,重,未婚,父母健在,没有孩子,平原,通畅,烈风,中雨,大,0.225,[51 71]
165,18,初中,男,174.42525773195874,64.4,轻,已婚,父母健在,有一子女,平原,通畅,和风,暴雨,小,0.209,[59 74]
166,38,初中,男,160.0,59.0,重,未婚,父母健在,没有孩子,平原,堵车,暴风,冻雨,大,0.36,[50 53]
167,26,小学及以下,男,172.7,62.1,轻,未婚,父母健在,没有孩子,平原,堵车,劲风,小雪,大,0.3,[72 64]
168,35,高中及以上,男,175.3,68.0,中,已婚,父母健在,有多个子女,有山,堵车,暴风,冻雨,小,0.34,[79 71]
169,31,初中,男,175.1,70.0,重,未婚,父母健在,没有孩子,平原,通畅,烈风,雨夹雪,中,0.406,[68 71]
170,31,高中及以上,男,177.8,71.7,轻,未婚,父母健在,没有孩子,有山,通畅,烈风,小雨,小,0.382,[73 70]
171,23,小学及以下,男,175.3,83.9,轻,已婚,父母健在,没有孩子,有山,通畅,无风,小雨,小,0.161,[64 59]
172,50,初中,男,167.6,63.9,重,未婚,父母健在,没有孩子,平原,堵车,强风,多云,小,0.055,[63 61]
173,21,初中,男,172.7,83.1,中,未婚,父母健在,没有孩子,平原,通畅,无风,中雨,中,0.408,[75 59]
174,38,高中及以上,男,172.7,70.8,轻,已婚,父母健在,有一子女,平原,堵车,无风,中雨,大,0.31,[62 63]
175,34,高中及以上,男,182.9,79.4,重,已婚,父母健在,有多个子女,有山,堵车,劲风,冻雨,中,0.196,[69 70]
176,34,高中及以上,男,187.9,83.5,轻,已婚,父母健在,有一子女,有山,通畅,和风,多云,小,0.037000000000000005,[76 69]
177,34,高中及以上,男,167.6,75.7,中,未婚,父母健在,没有孩子,平原,堵车,微风,多云,中,0.099,[65 58]
178,28,高中及以上,男,172.7,65.8,轻,已婚,父母健在,有多个子女,有山,通畅,轻风,雷阵雨,中,0.474,[79 54]
179,46,初中,女,167.6,53.5,轻,已婚,父母健在,有多个子女,有山,通畅,和风,阴天,中,0.22,[78 62]
180,41,高中及以上,男,172.7,68.1,轻,未婚,父母健在,没有孩子,有山,通畅,烈风,雨夹雪,大,0.35100000000000003,[74 72]
181,40,高中及以上,男,180.3,71.2,中,已婚,父母健在,没有孩子,有山,堵车,台风,雨夹雪,中,0.199,[72 52]
182,23,高中及以上,女,163.6,58.1,轻,已婚,父母健在,有多个子女,平原,通畅,大风,大雨,小,0.401,[59 51]
183,25,初中,女,162.7,54.9,中,未婚,父母健在,没有孩子,平原,堵车,强风,晴,小,0.105,[53 54]
184,20,高中及以上,男,170.1,61.2,重,未婚,父母健在,没有孩子,平原,通畅,强风,雾,大,0.161,[75 73]
185,24,初中,男,182.9,144.2,轻,已婚,父母健在,有多个子女,平原,堵车,烈风,雷阵雨,中,0.058,[75 57]
186,40,初中,男,185.4,98.4,轻,未婚,父母健在,没有孩子,有山,通畅,狂风,雾,中,0.44,[63 66]
187,39,高中及以上,男,187.9,97.5,中,未婚,父母健在,没有孩子,平原,通畅,大风,中雪,大,0.077,[61 53]
188,40,高中及以上,男,180.3,106.6,中,已婚,父母健在,有多个子女,有山,通畅,微风,小雨,大,0.234,[78 67]
189,30,初中,男,182.9,86.1,重,未婚,父母健在,没有孩子,有山,通畅,疾风,暴雨,中,0.33,[68 73]
190,35,高中及以上,男,177.8,63.5,中,已婚,父母健在,有多个子女,有山,通畅,无风,多云,小,0.31,[66 56]
191,25,高中及以上,男,175.3,113.4,中,已婚,父母健在,有多个子女,有山,堵车,大风,中雪,大,0.282,[79 72]
192,23,高中及以上,男,177.8,90.7,重,未婚,父母健在,没有孩子,有山,堵车,大风,中雨,小,0.079,[54 68]
193,24,初中,男,185.4,81.6,中,已婚,父母健在,有多个子女,有山,堵车,微风,冻雨,小,0.27,[78 71]
194,28,高中及以上,男,175.3,90.7,中,已婚,父母健在,有一子女,平原,堵车,烈风,中雪,大,0.307,[71 63]
195,23,高中及以上,男,180.3,74.8,重,已婚,父母健在,有多个子女,有山,通畅,无风,暴雨,小,0.121,[54 75]
196,21,小学及以下,男,182.9,67.1,中,未婚,父母健在,没有孩子,有山,通畅,暴风,大到暴雪,中,0.139,[77 70]
197,26,初中,男,187.9,59.4,中,已婚,父母健在,有多个子女,平原,通畅,软风,雨夹雪,大,0.398,[70 55]
198,34,初中,男,177.8,51.7,中,未婚,父母健在,没有孩子,有山,通畅,和风,阴天,中,0.09,[77 77]
199,30,初中,男,165.1,80.3,轻,已婚,父母健在,有多个子女,平原,堵车,大风,大雨,中,0.261,[50 71]
200,49,高中及以上,男,175.3,98.4,中,未婚,父母健在,没有孩子,平原,堵车,劲风,雷阵雨,中,0.297,[75 55]
201,29,高中及以上,男,177.8,88.0,中,已婚,父母健在,有多个子女,有山,通畅,微风,小雪,中,0.409,[51 76]
202,24,初中,男,175.3,89.8,重,已婚,父母健在,有一子女,平原,堵车,暴风,大到暴雪,大,0.27,[79 73]
203,31,高中及以上,男,175.3,91.6,重,已婚,父母健在,有多个子女,有山,堵车,台风,小雪,小,0.097,[79 57]
204,29,初中,男,182.9,133.8,轻,未婚,父母健在,没有孩子,有山,堵车,劲风,晴,中,0.096,[62 53]
205,32,小学及以下,男,172.7,72.1,轻,已婚,父母健在,有一子女,平原,堵车,轻风,霜冻,中,0.104,[69 68]
206,22,初中,男,185.4,98.0,轻,已婚,父母健在,有多个子女,平原,通畅,烈风,霜冻,中,0.451,[59 66]
207,51,高中及以上,男,170.2,88.0,重,已婚,父母健在,有多个子女,平原,通畅,轻风,大到暴雪,小,0.003,[79 70]
208,24,初中,男,180.3,81.6,重,已婚,父母健在,没有孩子,平原,通畅,疾风,阴天,小,0.29600000000000004,[71 76]
209,21,高中及以上,男,180.3,73.0,中,已婚,父母健在,没有孩子,平原,堵车,烈风,小雪,大,0.212,[70 55]
210,28,高中及以上,男,172.7,89.8,中,未婚,父母健在,没有孩子,有山,通畅,烈风,中雪,中,0.316,[57 55]
211,46,高中及以上,男,182.9,85.3,轻,已婚,父母健在,没有孩子,有山,通畅,无风,晴,大,0.179,[57 56]
212,47,高中及以上,男,193.0,81.2,重,已婚,父母健在,有多个子女,有山,堵车,烈风,阴天,小,0.365,[66 70]
213,42,高中及以上,男,177.8,89.8,轻,已婚,父母健在,没有孩子,有山,通畅,微风,中雨,中,0.128,[77 67]
214,28,高中及以上,男,167.6,92.5,重,未婚,父母健在,没有孩子,有山,堵车,微风,阴天,大,0.21,[54 65]
215,34,初中,男,188.0,99.3,重,未婚,父母健在,没有孩子,有山,堵车,和风,阴天,中,0.4920000000000001,[58 69]
216,39,高中及以上,男,182.9,88.9,中,已婚,父母健在,没有孩子,平原,通畅,劲风,中雨,大,0.14400000000000002,[59 75]
217,45,初中,男,172.7,102.1,轻,已婚,父母健在,没有孩子,有山,堵车,微风,大雨,中,0.498,[68 73]
218,21,初中,男,167.6,78.9,重,未婚,父母健在,没有孩子,平原,堵车,暴风,霜冻,大,0.159,[51 51]
