index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed,Result
78,20,初中,男,188.0,98.9,重,未婚,父母健在,没有孩子,平原,堵车,台风,小雨,中,0.032,1,危险等级0
79,39,高中及以上,男,165.1,83.0,重,已婚,父母健在,有多个子女,有山,堵车,暴风,大雨,中,0.496,1,危险等级1
80,29,高中及以上,男,154.9,72.6,中,已婚,父母健在,没有孩子,有山,通畅,软风,冰雹,大,0.131,1,危险等级0
81,20,高中及以上,男,175.3,59.9,轻,已婚,父母健在,没有孩子,平原,通畅,微风,雨夹雪,中,0.004,1,危险等级0
82,25,初中,男,167.6,68.0,中,未婚,父母健在,没有孩子,有山,堵车,劲风,雨夹雪,小,0.158,1,危险等级1
83,31,小学及以下,男,180.3,79.4,轻,未婚,父母健在,没有孩子,有山,通畅,台风,多云,中,0.11599999999999999,1,危险等级0
84,31,小学及以下,男,172.7,92.1,中,未婚,父母健在,没有孩子,有山,通畅,轻风,中雨,小,0.024,1,危险等级0
85,31,初中,男,170.2,119.7,轻,已婚,父母健在,有一子女,平原,堵车,狂风,中雪,大,0.177,1,危险等级1
86,23,初中,男,180.3,63.0,轻,已婚,父母健在,没有孩子,平原,堵车,暴风,晴,大,0.098,1,危险等级0
87,23,初中,男,174.42525773195874,85.3,中,已婚,父母健在,有一子女,平原,通畅,台风,中雪,中,0.365,1,危险等级1
88,23,初中,男,172.7,83.5,中,已婚,父母健在,有一子女,平原,堵车,劲风,雾,大,0.41600000000000004,1,危险等级1
89,23,初中,男,165.1,96.6,轻,已婚,父母健在,有一子女,平原,堵车,暴风,雷阵雨,大,0.298,1,危险等级1
90,39,高中及以上,男,177.8,77.1,中,未婚,父母健在,没有孩子,平原,堵车,强风,暴雨,大,0.163,1,危险等级1
91,32,初中,男,170.2,104.8,中,已婚,父母健在,有多个子女,有山,堵车,和风,晴,大,0.032,1,危险等级0
92,23,初中,男,172.7,114.3,中,未婚,父母健在,没有孩子,平原,通畅,劲风,雨夹雪,小,0.062,1,危险等级0
93,21,高中及以上,男,177.8,68.5,中,已婚,父母健在,没有孩子,有山,通畅,狂风,中雪,中,0.084,1,危险等级0
94,25,初中,男,170.2,68.0,轻,未婚,父母健在,没有孩子,有山,堵车,轻风,雨夹雪,大,0.113,1,危险等级0
95,21,高中及以上,男,185.4,68.0,轻,已婚,父母健在,有一子女,平原,通畅,台风,大到暴雪,小,0.22899999999999998,1,危险等级1
96,20,初中,男,185.4,91.2,轻,未婚,父母健在,没有孩子,平原,通畅,暴风,大到暴雪,中,0.441,1,危险等级1
97,25,高中及以上,男,170.2,83.9,重,未婚,父母健在,没有孩子,平原,通畅,微风,中雨,大,0.29100000000000004,1,危险等级1
98,27,初中,男,170.2,81.6,轻,未婚,父母健在,没有孩子,有山,堵车,疾风,小雨,中,0.451,1,危险等级1
99,19,初中,男,172.7,70.8,重,已婚,父母健在,没有孩子,平原,通畅,和风,晴,中,0.001,1,危险等级0
100,24,初中,男,165.1,73.9,轻,已婚,父母健在,没有孩子,平原,堵车,强风,雷阵雨,大,0.498,1,危险等级1
101,28,高中及以上,男,165.1,79.8,重,已婚,父母健在,有一子女,有山,堵车,和风,中雪,中,0.451,1,危险等级1
102,27,高中及以上,男,167.6,65.3,轻,未婚,父母健在,没有孩子,平原,堵车,强风,大雨,小,0.242,1,危险等级1
103,29,高中及以上,男,175.3,73.5,重,已婚,父母健在,有多个子女,有山,堵车,狂风,小雨,中,0.44,1,危险等级1
104,36,高中及以上,男,188.0,94.8,重,已婚,父母健在,有多个子女,有山,堵车,大风,中雪,小,0.33399999999999996,1,危险等级1
105,30,高中及以上,男,190.5,128.8,轻,未婚,父母健在,没有孩子,有山,堵车,轻风,霜冻,小,0.295,1,危险等级1
106,46,初中,男,188.0,86.2,轻,已婚,父母健在,没有孩子,平原,通畅,轻风,大雨,小,0.445,1,危险等级1
107,30,高中及以上,男,172.7,75.7,重,未婚,父母健在,没有孩子,平原,通畅,软风,中雨,大,0.45899999999999996,1,危险等级1
108,37,高中及以上,男,180.3,103.9,重,已婚,父母健在,没有孩子,有山,通畅,和风,大雨,大,0.41700000000000004,1,危险等级1
109,36,高中及以上,男,175.3,104.3,重,已婚,父母健在,没有孩子,平原,通畅,狂风,中雪,小,0.129,1,危险等级0
110,32,高中及以上,男,182.9,77.1,中,已婚,父母健在,没有孩子,有山,通畅,和风,大雨,中,0.18,1,危险等级1
111,20,高中及以上,男,170.2,61.2,重,已婚,父母健在,有一子女,平原,堵车,台风,小雪,小,0.001,1,危险等级0
112,22,初中,男,170.2,83.5,轻,未婚,父母健在,没有孩子,有山,堵车,疾风,中雨,中,0.013999999999999999,1,危险等级0
113,30,初中,男,160.0,71.7,重,已婚,父母健在,没有孩子,平原,堵车,微风,大雨,中,0.129,1,危险等级0
114,39,高中及以上,男,170.2,97.5,重,已婚,父母健在,有一子女,有山,堵车,软风,晴,中,0.12,1,危险等级0
115,24,高中及以上,男,180.3,78.9,轻,已婚,父母健在,有一子女,有山,堵车,轻风,中雨,大,0.345,1,危险等级1
116,23,高中及以上,男,170.2,93.0,中,未婚,父母健在,没有孩子,有山,通畅,疾风,多云,大,0.095,1,危险等级0
117,31,初中,男,172.7,78.5,轻,已婚,父母健在,有多个子女,有山,堵车,暴风,中雨,中,0.091,1,危险等级0
118,19,初中,男,170.2,83.5,轻,已婚,父母健在,有一子女,有山,通畅,软风,大雨,小,0.28,1,危险等级1
119,27,高中及以上,男,180.3,118.4,轻,未婚,父母健在,没有孩子,有山,堵车,狂风,冻雨,小,0.008,1,危险等级0
120,24,初中,男,180.3,88.0,重,已婚,父母健在,有多个子女,平原,堵车,强风,暴雨,小,0.33899999999999997,1,危险等级1
121,22,初中,男,172.7,76.7,中,已婚,父母健在,有一子女,平原,堵车,烈风,小雨,小,0.245,1,危险等级1
122,24,初中,男,170.2,71.2,轻,未婚,父母健在,没有孩子,平原,堵车,台风,大到暴雪,中,0.308,1,危险等级1
123,19,高中及以上,男,167.6,74.4,中,已婚,父母健在,有多个子女,有山,通畅,强风,中雪,中,0.424,1,危险等级1
124,26,高中及以上,男,165.1,58.5,中,未婚,父母健在,没有孩子,有山,堵车,烈风,雷阵雨,大,0.389,1,危险等级1
125,21,初中,男,160.0,77.6,重,已婚,父母健在,有多个子女,有山,通畅,无风,小雪,中,0.311,1,危险等级1
126,25,初中,男,175.3,71.2,中,已婚,父母健在,有多个子女,有山,堵车,无风,雨夹雪,小,0.09699999999999999,1,危险等级0
127,19,初中,男,167.6,64.4,轻,未婚,父母健在,没有孩子,有山,堵车,台风,暴雨,小,0.204,1,危险等级1
128,34,初中,男,182.9,81.6,重,未婚,父母健在,没有孩子,有山,堵车,暴风,小雨,小,0.308,1,危险等级1
129,41,初中,男,165.1,74.8,轻,未婚,父母健在,没有孩子,有山,堵车,大风,大到暴雪,大,0.027999999999999997,1,危险等级0
130,23,初中,男,177.8,73.9,中,未婚,父母健在,没有孩子,有山,堵车,暴风,阴天,小,0.353,1,危险等级1
131,39,高中及以上,男,190.5,92.5,重,已婚,父母健在,没有孩子,平原,堵车,疾风,霜冻,大,0.306,1,危险等级1
132,30,初中,男,175.3,68.0,重,已婚,父母健在,没有孩子,有山,堵车,劲风,雨夹雪,小,0.248,1,危险等级1
133,28,高中及以上,男,160.0,78.0,中,已婚,父母健在,有一子女,平原,堵车,暴风,小雨,中,0.067,1,危险等级0
134,21,初中,男,177.8,79.8,中,已婚,父母健在,有一子女,有山,通畅,大风,雷阵雨,中,0.03,1,危险等级0
135,19,高中及以上,男,182.9,74.8,轻,已婚,父母健在,没有孩子,有山,堵车,劲风,晴,小,0.33799999999999997,1,危险等级1
136,36,小学及以下,男,177.8,101.6,重,已婚,父母健在,有多个子女,有山,堵车,台风,多云,中,0.303,1,危险等级1
137,33,高中及以上,男,185.4,113.4,中,未婚,父母健在,没有孩子,有山,通畅,轻风,大到暴雪,小,0.256,1,危险等级1
138,39,初中,男,167.6,86.2,重,未婚,父母健在,没有孩子,平原,堵车,劲风,大雨,小,0.154,1,危险等级1
139,23,初中,男,177.8,93.9,轻,未婚,父母健在,没有孩子,有山,通畅,无风,大雨,中,0.038,1,危险等级0
140,20,初中,男,180.3,99.8,轻,未婚,父母健在,没有孩子,平原,堵车,软风,小雪,小,0.039,1,危险等级0
141,20,初中,男,170.2,86.2,重,未婚,父母健在,没有孩子,平原,通畅,微风,暴雨,小,0.18,1,危险等级1
142,23,高中及以上,男,170.2,88.5,重,已婚,父母健在,有一子女,平原,通畅,软风,多云,中,0.434,1,危险等级1
143,24,高中及以上,男,182.9,63.5,中,已婚,父母健在,有一子女,有山,通畅,台风,霜冻,小,0.107,1,危险等级0
144,44,初中,男,172.7,76.2,中,已婚,父母健在,没有孩子,有山,通畅,强风,阴天,中,0.495,1,危险等级1
145,49,初中,男,175.3,93.0,中,已婚,父母健在,有一子女,有山,堵车,台风,雷阵雨,大,0.161,1,危险等级1
146,35,高中及以上,男,165.1,67.1,重,已婚,父母健在,有多个子女,有山,通畅,强风,中雪,大,0.057999999999999996,1,危险等级0
147,22,高中及以上,男,177.8,101.6,轻,未婚,父母健在,没有孩子,平原,通畅,疾风,雾,中,0.156,1,危险等级1
148,26,初中,男,154.9,103.0,轻,未婚,父母健在,没有孩子,平原,堵车,软风,多云,中,0.057,1,危险等级0
149,37,初中,男,172.7,103.9,重,已婚,父母健在,没有孩子,平原,堵车,无风,中雪,中,0.26899999999999996,1,危险等级1
150,29,初中,男,175.3,59.4,中,未婚,父母健在,没有孩子,有山,堵车,大风,晴,中,0.23399999999999999,1,危险等级1
151,23,高中及以上,男,170.2,91.2,中,未婚,父母健在,没有孩子,有山,通畅,大风,阴天,大,0.47100000000000003,1,危险等级1
152,40,高中及以上,男,180.3,79.4,中,已婚,父母健在,有一子女,有山,堵车,狂风,雷阵雨,小,0.075,1,危险等级0
153,23,初中,男,167.6,66.7,中,已婚,父母健在,有一子女,有山,堵车,无风,中雪,小,0.36200000000000004,1,危险等级1
154,25,高中及以上,男,175.3,130.6,轻,未婚,父母健在,没有孩子,有山,通畅,大风,中雪,中,0.42,1,危险等级1
155,51,高中及以上,男,175.3,89.8,重,未婚,父母健在,没有孩子,平原,通畅,微风,雾,中,0.478,1,危险等级1
156,39,高中及以上,男,182.9,108.9,轻,已婚,父母健在,没有孩子,平原,通畅,无风,雷阵雨,大,0.275,1,危险等级1
157,29,高中及以上,男,175.3,81.6,重,未婚,父母健在,没有孩子,有山,通畅,暴风,阴天,中,0.43,1,危险等级1
158,28,初中,男,182.9,94.3,轻,未婚,父母健在,没有孩子,平原,通畅,和风,雨夹雪,大,0.03,1,危险等级0
159,25,初中,男,180.3,70.3,中,已婚,父母健在,有多个子女,平原,通畅,大风,暴雨,中,0.305,1,危险等级1
160,34,初中,男,177.8,85.7,中,已婚,父母健在,有多个子女,平原,通畅,无风,小雨,中,0.172,1,危险等级1
161,21,高中及以上,男,170.2,74.8,中,已婚,父母健在,没有孩子,有山,通畅,狂风,冻雨,大,0.391,1,危险等级1
162,24,高中及以上,男,177.8,74.8,重,未婚,父母健在,没有孩子,有山,通畅,疾风,雷阵雨,大,0.179,1,危险等级1
163,25,高中及以上,男,182.9,81.6,中,已婚,父母健在,有一子女,有山,通畅,疾风,冰雹,小,0.48700000000000004,1,危险等级1
164,22,高中及以上,男,188.0,105.2,重,未婚,父母健在,没有孩子,平原,通畅,烈风,中雨,大,0.225,1,危险等级1
165,18,初中,男,174.42525773195874,64.4,轻,已婚,父母健在,有一子女,平原,通畅,和风,暴雨,小,0.209,1,危险等级1
166,38,初中,男,160.0,59.0,重,未婚,父母健在,没有孩子,平原,堵车,暴风,冻雨,大,0.36,1,危险等级1
167,26,小学及以下,男,172.7,62.1,轻,未婚,父母健在,没有孩子,平原,堵车,劲风,小雪,大,0.3,1,危险等级1
168,35,高中及以上,男,175.3,68.0,中,已婚,父母健在,有多个子女,有山,堵车,暴风,冻雨,小,0.34,1,危险等级1
169,31,初中,男,175.1,70.0,重,未婚,父母健在,没有孩子,平原,通畅,烈风,雨夹雪,中,0.406,1,危险等级1
170,31,高中及以上,男,177.8,71.7,轻,未婚,父母健在,没有孩子,有山,通畅,烈风,小雨,小,0.382,1,危险等级1
171,23,小学及以下,男,175.3,83.9,轻,已婚,父母健在,没有孩子,有山,通畅,无风,小雨,小,0.161,1,危险等级1
172,50,初中,男,167.6,63.9,重,未婚,父母健在,没有孩子,平原,堵车,强风,多云,小,0.055,1,危险等级0
173,21,初中,男,172.7,83.1,中,未婚,父母健在,没有孩子,平原,通畅,无风,中雨,中,0.408,1,危险等级1
174,38,高中及以上,男,172.7,70.8,轻,已婚,父母健在,有一子女,平原,堵车,无风,中雨,大,0.31,1,危险等级1
175,34,高中及以上,男,182.9,79.4,重,已婚,父母健在,有多个子女,有山,堵车,劲风,冻雨,中,0.196,1,危险等级1
176,34,高中及以上,男,187.9,83.5,轻,已婚,父母健在,有一子女,有山,通畅,和风,多云,小,0.037000000000000005,1,危险等级0
177,34,高中及以上,男,167.6,75.7,中,未婚,父母健在,没有孩子,平原,堵车,微风,多云,中,0.099,1,危险等级0
178,28,高中及以上,男,172.7,65.8,轻,已婚,父母健在,有多个子女,有山,通畅,轻风,雷阵雨,中,0.474,1,危险等级1
179,46,初中,女,167.6,53.5,轻,已婚,父母健在,有多个子女,有山,通畅,和风,阴天,中,0.22,1,危险等级1
180,41,高中及以上,男,172.7,68.1,轻,未婚,父母健在,没有孩子,有山,通畅,烈风,雨夹雪,大,0.35100000000000003,1,危险等级1
181,40,高中及以上,男,180.3,71.2,中,已婚,父母健在,没有孩子,有山,堵车,台风,雨夹雪,中,0.19899999999999998,1,危险等级1
182,23,高中及以上,女,163.6,58.1,轻,已婚,父母健在,有多个子女,平原,通畅,大风,大雨,小,0.401,1,危险等级1
183,25,初中,女,162.7,54.9,中,未婚,父母健在,没有孩子,平原,堵车,强风,晴,小,0.105,1,危险等级0
184,20,高中及以上,男,170.1,61.2,重,未婚,父母健在,没有孩子,平原,通畅,强风,雾,大,0.161,1,危险等级1
185,24,初中,男,182.9,144.2,轻,已婚,父母健在,有多个子女,平原,堵车,烈风,雷阵雨,中,0.057999999999999996,1,危险等级0
186,40,初中,男,185.4,98.4,轻,未婚,父母健在,没有孩子,有山,通畅,狂风,雾,中,0.44,1,危险等级1
187,39,高中及以上,男,187.9,97.5,中,未婚,父母健在,没有孩子,平原,通畅,大风,中雪,大,0.077,1,危险等级0
188,40,高中及以上,男,180.3,106.6,中,已婚,父母健在,有多个子女,有山,通畅,微风,小雨,大,0.23399999999999999,1,危险等级1
189,30,初中,男,182.9,86.1,重,未婚,父母健在,没有孩子,有山,通畅,疾风,暴雨,中,0.33,1,危险等级1
190,35,高中及以上,男,177.8,63.5,中,已婚,父母健在,有多个子女,有山,通畅,无风,多云,小,0.31,1,危险等级1
191,25,高中及以上,男,175.3,113.4,中,已婚,父母健在,有多个子女,有山,堵车,大风,中雪,大,0.282,1,危险等级1
192,23,高中及以上,男,177.8,90.7,重,未婚,父母健在,没有孩子,有山,堵车,大风,中雨,小,0.079,1,危险等级0
193,24,初中,男,185.4,81.6,中,已婚,父母健在,有多个子女,有山,堵车,微风,冻雨,小,0.27,1,危险等级1
194,28,高中及以上,男,175.3,90.7,中,已婚,父母健在,有一子女,平原,堵车,烈风,中雪,大,0.307,1,危险等级1
195,23,高中及以上,男,180.3,74.8,重,已婚,父母健在,有多个子女,有山,通畅,无风,暴雨,小,0.121,1,危险等级0
196,21,小学及以下,男,182.9,67.1,中,未婚,父母健在,没有孩子,有山,通畅,暴风,大到暴雪,中,0.139,1,危险等级0
197,26,初中,男,187.9,59.4,中,已婚,父母健在,有多个子女,平原,通畅,软风,雨夹雪,大,0.39799999999999996,1,危险等级1
198,34,初中,男,177.8,51.7,中,未婚,父母健在,没有孩子,有山,通畅,和风,阴天,中,0.09,1,危险等级0
199,30,初中,男,165.1,80.3,轻,已婚,父母健在,有多个子女,平原,堵车,大风,大雨,中,0.261,1,危险等级1
200,49,高中及以上,男,175.3,98.4,中,未婚,父母健在,没有孩子,平原,堵车,劲风,雷阵雨,中,0.297,1,危险等级1
201,29,高中及以上,男,177.8,88.0,中,已婚,父母健在,有多个子女,有山,通畅,微风,小雪,中,0.409,1,危险等级1
202,24,初中,男,175.3,89.8,重,已婚,父母健在,有一子女,平原,堵车,暴风,大到暴雪,大,0.27,1,危险等级1
203,31,高中及以上,男,175.3,91.6,重,已婚,父母健在,有多个子女,有山,堵车,台风,小雪,小,0.09699999999999999,1,危险等级0
204,29,初中,男,182.9,133.8,轻,未婚,父母健在,没有孩子,有山,堵车,劲风,晴,中,0.096,1,危险等级0
205,32,小学及以下,男,172.7,72.1,轻,已婚,父母健在,有一子女,平原,堵车,轻风,霜冻,中,0.10400000000000001,1,危险等级0
206,22,初中,男,185.4,98.0,轻,已婚,父母健在,有多个子女,平原,通畅,烈风,霜冻,中,0.451,1,危险等级1
207,51,高中及以上,男,170.2,88.0,重,已婚,父母健在,有多个子女,平原,通畅,轻风,大到暴雪,小,0.003,1,危险等级0
208,24,初中,男,180.3,81.6,重,已婚,父母健在,没有孩子,平原,通畅,疾风,阴天,小,0.29600000000000004,1,危险等级1
